Day of the Week,Date,Bed Time,Get Up Time,Time in Bed (hours),Total Sleep Time (hours),Onset Latency (hours),Sleep Efficiency (Percent),WASO (minutes),#Awak.
Tuesday,24/10/2023,00:01:48,07:37:48,07:36:00,06:59:00,00:00:00,91.89%,00:32:00,7
Wednesday,25/10/2023,07:23:48,08:59:48,01:36:00,01:17:00,00:15:00,80.21%,00:04:00,2
Thursday,26/10/2023,00:41:48,08:42:48,08:01:00,07:18:00,00:01:00,91.06%,00:42:00,11
Friday,26/10/2023,20:25:48,07:47:48,11:22:00,10:09:00,00:00:00,89.30%,01:07:00,11
Saturday,27/10/2023,23:29:48,09:07:48,09:38:00,08:09:00,00:00:00,84.60%,01:23:00,16
Sunday,29/10/2023,00:54:48,09:30:48,08:36:00,08:12:00,00:07:00,95.35%,00:17:00,8
Monday,30/10/2023,00:54:48,06:57:48,06:03:00,05:42:00,00:00:00,94.21%,00:16:00,5
Tuesday,30/10/2023,23:50:48,08:54:48,09:04:00,07:42:00,00:10:00,84.93%,00:47:00,9
Wednesday,01/11/2023,00:29:48,06:52:48,06:23:00,06:17:00,00:00:00,98.43%,00:06:00,3
Thursday,01/11/2023,23:31:48,07:31:48,08:00:00,07:49:00,00:00:00,97.71%,00:11:00,4
Friday,03/11/2023,00:02:48,08:27:48,08:25:00,07:55:00,00:00:00,94.06%,00:30:00,9
Saturday,03/11/2023,23:52:48,08:52:48,09:00:00,08:20:00,00:00:00,92.59%,00:40:00,12
Sunday,05/11/2023,01:09:48,08:15:48,07:06:00,06:42:00,00:01:00,94.37%,00:23:00,10
Monday,05/11/2023,22:36:48,08:15:48,09:39:00,09:12:00,00:03:00,95.34%,00:14:00,6
Tuesday,06/11/2023,23:30:48,09:00:48,09:30:00,09:10:00,00:00:00,96.49%,00:20:00,9
Wednesday,08/11/2023,01:15:48,07:28:48,06:13:00,05:51:00,00:00:00,94.10%,00:22:00,6
